State	Year	Assault	Vehicular	Larceny	Rape	Robbery	Burglary	Murder	Property	Population
Alabama	1960	4512	2853.0	19344	281	27.5	11626	406	33823	3266740
Alabama	1961	4255	2535.0	18801	252	19.1	11205	427	32541	3302000
Alabama	1962	3995	2801.0	21306	218	22.5	11722	316	35829	3358000
Alabama	1963	4755	3033.0	22874	192	24.7	12614	340	38521	3347000
Alabama	1964	5555	3679.0	26713	397	29.1	15898	316	46290	3407000
Alabama	1965	5162	3702.0	28115	367	28.7	16398	395	48215	3462000
Alabama	1966	6249	4606.0	30583	341	32.0	18551	384	53740	3517000
Alabama	1967	6495	5170.0	31682	371	33.0	20227	415	57079	3540000
Alabama	1968	6009	6086.0	34508	396	41.0	22403	421	62997	3566000
Alabama	1969	6415	6045.0	36644	494	41.0	23559	485	66248	3531000
Alabama	1970	7413	7696.0	40779	637	50.3	26739	404	75214	3444165
Alabama	1971	7645	7696.0	40841	661	57.6	27547	524	76084	3479000
Alabama	1972	7431	6846.0	38493	660	68.6	27714	496	73053	3510000
Alabama	1973	8362	8039.0	39206	751	79.4	31754	468	78999	3539000
Alabama	1974	8429	9322.0	46813	811	99.6	37841	536	93976	3577000
Alabama	1975	8440	9767.0	59470	738	123.0	42059	577	111296	3614000
Alabama	1976	9381	9614.0	72832	794	96.0	42879	553	125325	3665000
Alabama	1977	10268	10359.0	69442	929	96.8	41901	524	121702	3690000
Alabama	1978	10521	11319.0	74387	954	99.1	46001	499	131707	3742000
Alabama	1979	9918	12064.0	83791	1037	109.5	48517	496	144372	3769000
Alabama	1980	10551	12210.0	102029	1158	132.1	58952	509	173191	3861466
Alabama	1981	11985	11129.0	105471	1021	126.5	56811	465	173411	3916000
Alabama	1982	11793	10777.0	104740	1026	112.0	49531	417	165048	3943000
Alabama	1983	11281	9126.0	94279	931	98.4	42485	364	145890	3959000
Alabama	1984	11995	9319.0	89198	1002	96.1	39970	374	138487	3990000
Alabama	1985	12686	10395.0	88108	1079	105.4	41612	396	140115	4021000
Alabama	1986	16534	10821.0	93396	1150	111.6	46974	409	151191	4053000
Alabama	1987	16735	10731.0	99260	1137	112.2	48927	380	158918	4083000
Alabama	1988	16556	11007.0	103282	1228	117.8	50920	408	165209	4127000
Alabama	1989	17117	12249.0	106771	1276	133.9	47224	421	166244	4118000
Alabama	1990	21039	14053.0	111336	1319	143.7	44585	467	169974	4040587
Alabama	1991	26348	14858.0	118151	1455	152.8	51873	469	184882	4089000
Alabama	1992	27074	14983.0	117801	1704	164.9	49053	455	181837	4136000
Alabama	1993	24044	14142.0	111878	1471	159.5	45578	484	171598	4187000
Alabama	1994	19633	14000.0	119951	1487	171.2	44064	501	178015	4219000
Alabama	1995	17169	14741.0	120967	1350	185.8	43586	475	179294	4253000
Alabama	1996	15194	15632.0	123350	1397	167.0	42821	444	181803	4273000
Alabama	1997	15626	15407.0	127616	1396	160.5	43786	426	186809	4319000
Alabama	1998	14791	14871.0	120943	1443	130.9	41965	354	177779	4352000
Alabama	1999	14266	13134.0	119616	1513	121.2	38648	345	171398	4369862
Alabama	2000	14107	12809.0	127399	1482	128.2	40331	329	180539	4447100
Alabama	2001	12250	12619.0	119992	1369	125.0	40642	379	173253	4468912
Alabama	2002	12002	13890.0	123932	1664	133.1	42578	303	180400	4478896
Alabama	2003	11338	14957.0	124039	1656	134.1	43245	299	182241	4503726
Alabama	2004	11286	14024.0	123650	1742	133.5	44666	254	182340	4525375
Alabama	2005	11293	13140.0	120780	1564	141.7	43473	374	177393	4548327
Alabama	2006	10463	15018.0	121451	1646	153.6	44780	382	181249	4599030
Alabama	2007	11417	14238.0	124465	1548	159.9	45379	412	184082	4627851
Alabama	2008	11795	13466.0	126539	1618	157.6	50411	351	190416	4661900
Alabama	2009	13103	11091.0	118072	1504	133.1	48844	322	178007	4708708
Alabama	2010	11869	10780.0	115564	1355	101.6	42484	275	168828	4785401
Alabama	2011	13591	10662.0	111411	1370	102.1	51119	299	173192	4803689
Alabama	2012	15035	9874.0	111523	1296	104.1	47481	342	168878	4822023
Alaska	1960	102	548.0	2195	47	28.3	751	23	3494	226167
Alaska	1961	121	491.0	2223	31	12.4	891	27	3605	234000
Alaska	1962	134	560.0	2424	46	13.8	865	11	3849	246000
Alaska	1963	164	887.0	3010	37	22.2	946	16	4843	248000
Alaska	1964	240	885.0	3046	56	21.2	1109	26	5040	250000
Alaska	1965	215	1030.0	3777	45	39.9	1403	16	6210	253000
Alaska	1966	223	1201.0	4354	53	36.0	1613	35	7168	272000
Alaska	1967	267	1100.0	4436	48	35.3	1873	26	7409	272000
Alaska	1968	251	1336.0	5307	60	52.7	2070	29	8713	277000
Alaska	1969	321	1668.0	6195	83	67.4	2455	30	10318	282000
Alaska	1970	507	1666.0	6595	79	71.8	2387	37	10648	302173
Alaska	1971	724	1636.0	7631	136	67.1	2656	42	11923	313000
Alaska	1972	821	1619.0	8577	136	66.5	3155	31	13351	325000
Alaska	1973	868	1736.0	9456	147	67.0	3852	33	15044	330000
Alaska	1974	1017	2183.0	10016	166	88.4	3932	46	16131	337000
Alaska	1975	1244	3238.0	12399	157	129.5	4275	43	19912	352000
