count	familiarity	long	names	lat	artist_id	hotttnesss	location
2	0.3968178443		Carroll Thompson		AR009211187B989185	0.2974048029	
4	0.5140642764	-84.59334	The Meatmen	42.73383	AR00A6H1187FB5402A	0.3956275143	US
2	0.4712126074		Bruce BecVar		AR00LNI1187FB444A5	0.3402755073	
3	0.5885718421	-90.05202	Memphis Minnie	29.95244	AR00MBZ1187B9B5DB1	0.360644227	US
4	0.6347645564	-80.73486	Call To Preserve	28.33268	AR01IP11187B9AF5D2	0.4239762635	US
1	0.6918008498	-83.7826	Grand Funk	43.0026	AR01VU31187B997DA0	0.5015970423	US
1	0.7865294756	-105.27924	3OH!3	40.01574	AR01W2D1187FB5912F	0.60332456	US
1	0.5846337906	113.9174	Ross	0.10974	AR022JO1187B99587B	0.2889999384	ID
1	0.4648244316		Annie Philippe		AR02DB61187B9A0B5E	0.3363913041	
6	0.7221052981		Tito Puente		AR02IU11187FB513F2	0.4807247809	
1	0.3872956913		Hi-Fi Companions		AR02KZG1187FB3B3B4	0.2833671083	
3	0.5860000583		Delta 9		AR02PUA1187FB52574	0.4095505954	
5	0.6155041026	-58.37354	Bersuit Vergarabat	-34.60852	AR02YGA1187B9B8AC4	0.4398363589	AR
7	0.7864270834	-102.4102	BT	34.23294	AR035N21187FB3938E	0.5122267383	US
6	0.7052876781		John Williams		AR039B11187B9B30D0	0.517298018	
10	0.9473275066	-118.24532	Britney Spears	34.05349	AR03BDP1187FB5B324	0.6072572796	US
1	0.644334866		Sylver		AR03GWG1187B9B6C85	0.3977329927	
2	0.6519521387		The Bug Featuring Ricky Ranking		AR040M31187B98CA41	0.4496939978	
2	0.8311639411		Alexisonfire		AR040QX1187FB4CFE1	0.5789335403	
1	0.8729337831	-81.6558	Yellowcard	30.33138	AR048JZ1187B9AEB85	0.6274672586	US
1	0.5416115906	-119.27023	The Disposable Heroes Of Hiphoprisy	37.27188	AR04KTB1187B99B6B7	0.3456373142	US
3	0.737037558		Dead Kennedys		AR050VJ1187B9B13A7	0.5392454183	
10	0.3511824539		Wilks featuring pee wee ellis		AR051KA1187B98B2FF	0.0801669387	
3	0.495066661		Mike Bloomfield		AR0569B1187B9A4036	0.3475117645	
6	0.3783479686	-84.39111	Roy Drusky	33.74831	AR059HI1187B9A14D7	0.3065186	US
3	0.5814752193	-2.67973	Alex Ubago	42.84751	AR05IU31187B9B9A1A	0.292662773	ES
1	0.3726755831	-118.24532	D'Molls	34.05349	AR05KQA1187B9963B3	0.2520844264	US
3	0.6013951131		Kassav'		AR05NQH1187B98E875	0.4367302211	
2	0.6940981447		Ol' Dirty Bastard		AR05OJD1187B9B99A6	0.4675520207	
3	0.5266460549	-1.14392	Fudge Tunnel	52.94922	AR05VW21187FB407B4	0.352342013	GB
1	0.4716695935		Mat Maneri		AR05XFO1187FB4DAE5	0.3661026235	
1	0.6228901803	-101.95625	Ximena Sarinana	23.62574	AR061J011A348F060F	0.3883251251	MX
3	0.5467887167		Dusminguet		AR0693R1187FB59D32	0.37082899	
5	0.7788167166		NOFX		AR06EB01187FB40150	0.554291489	
1	0.5842254221		Chico Cesar		AR06EHB1187FB42914	0.3598730459	
1	0.5996624263		MU330		AR06IFV1187B9977EC	0.3855717252	
1	0.6032689216	-89.94049	Mississippi Fred McDowell	34.51042	AR06M3F1187FB38BED	0.3853053783	US
3	0.5070160807	-122.42005	The Lord Weird Slough Feg	37.77916	AR06USW1187FB4EACA	0.421388265	US
1	0.5470791111		Seventh Star		AR07CRG1187FB594FA	0.4154933495	
2	0.3562783134		Lil' Band O' Gold		AR07HWO1187B9A2189	0	
