count	name	album_id
1	Chant Down Babylon: The Island Anthology	63
1	The Universal Masters Collection	84
1	New Found Glory	92
1	Tha Smokin' Nephew	108
1	blink-182	109
1	Here Without You	130
1	Take The Box	133
1	Hypocrisy Is The Greatest Luxury	205
1	Victims	213
1	Electrical Storm	225
1	Paid In Full	247
1	The Bitter End	299
1	In My Place	307
1	Sleeping With Ghosts	314
1	Live 2003	316
1	Black Market Music	340
1	Every You Every Me	347
1	Dude Ranch	371
1	80s Triple Set	398
1	The Hunger For More	436
1	Snow Patrol: Sessions@AOL	450
1	The Good_ The Bad_ The Ugly	559
1	Gorillaz	585
1	La Folie	587
1	G-Sides	598
1	Murder Ballads	738
1	Electric Light Orchestra	756
1	Devil Hopping	770
1	Jubilee	800
1	The Best Of David Bowie 1969-74	808
1	100% Colombian	809
1	Retrospectacle - The Best Of Thomas Dolby	815
1	Ill Communication	819
1	Ummagumma	839
1	Obscured By Clouds	856
1	Best Of Strange Cargo	860
1	Losing Streak	864
1	It Was Like This	869
1	Exile On Main St	884
1	Chronology	986
1	Premium Gold Collection	988
1	Pyramid Song	1022
2	Fake Plastic Trees	1036
1	Casually Dressed And Deep In Conversation	1106
1	Absolution	1112
1	Around The Sun	1138
1	Dead Letter Office: The I.R.S. Years Vintage 1987	1156
1	Nuestras Mejores Canciones 17 *	1160
1	Cracker	1197
3	Strange Cargo III	1224
1	The Boatmans Call	1280
1	Heroes	1356
1	Blinded By Science	1382
1	The Collection	1484
1	Size Matters	1537
1	Headsprung	1543
1	All I Want	1593
1	Say How I Feel	1620
1	Best 1991 - 2004	1656
1	A.B. Quintanilla III Presents Joe Lopez	1749
1	15 De Coleccion	1789
2	Love Songs	1792
1	L'homme Du Moment	1798
1	Love Angel Music Baby	1818
1	What You Waiting For?	1833
2	Snivilisation	2004
2	Three Cheers For Sweet Revenge	2005
1	Happy Love Sick	2014
1	The Altogether	2016
1	The Middle Of Nowhere	2022
1	In Sides	2027
1	Hot Joints 2	2058
1	Break Like The Wind	2210
1	The College Dropout	2277
1	Final Straw	2308
1	The Best Of Rainbow	2346
1	Best Of	2402
1	There Will Be A Light	2434
2	What You Thought You Heard	4967
1	Reach 454	5278
1	Thank You	5312
3	An Intimate Christmas	5395
1	Moonlight Survived	5402
1	These Days Will Fade	5404
2	Payable On Death	5976
1	Motograter	6589
2	Street Dreams	6839
1	Grace And Mercy	6891
1	Hymns Of Worship	6902
1	Christmas In Black and White	6909
1	Whisper To The Wild Water	6945
1	Nothing Else Matters	6949
2	Perfect Time	6953
1	This Bright Hour	6957
1	Marvin Sapp	6965
1	The Very Best	6968
1	David Meece/Chronology	6988
1	Fair Warning	7049
1	My Christmas EP!	7069
1	Everyday People	7085
1	Fortitude	7086
1	Live From Cincinnati_ Bringin' It Home	7091
1	Lost Together	7106
4	The Best Of Both Worlds	7133
2	Killer	7315
1	The Beginning	7321
1	Beneath...Between...Beyond...	7801
2	Shadow Zone	7830
1	Coral Fang	7851
1	Sessions@AOL - EP	7978
2	The Sound Of White - Australian Version	7982
1	Motown II	8350
1	Let Love In	8423
1	Charmbracelet	8456
1	Echoes	8470
1	The Motown Anthology	8476
1	Grand Champ	8497
1	...And Then There Was X	8504
1	The Great Depression	8506
1	Sometimes You Can't Make It On Your Own	8539
2	Malpractice	8552
1	Whut? The Album	8566
2	It's Dark And Hell Is Hot	8567
1	Eveningland	8577
1	The Melting Moon	8605
1	Matrix Revolutions: The Motion Picture Soundtrack	8670
1	Hits	8744
3	I'm Gonna Be Dead Someday	8759
1	Beautiful Creatures	8761
1	Hex	8768
1	You're A Woman_ I'm A Machine	8784
1	Bedtime Stories	8801
1	Die Platte Des Himmlischen Friedens	8820
1	Eurotrash	8862
1	Gin & Phonic	8876
1	Ideal	8907
1	White People	8986
1	Ronroco	8997
1	Far from Enough	9017
1	On	9038
1	My Favorite Headache	9039
1	Real Talk	9045
1	The Best Of Del Tha Funkee Homosapien [The Elektra Years]: The B-Boy Handbook	9066
2	Californication	9152
1	By The Way	9153
1	Gott och blandat	9435
1	Stranger	9481
2	En las cosas del amor...	9552
1	Kite	9650
1	Scratch The Surface	9683
2	Siren Song Of The Counter-Culture	9844
1	Lullabies To Paralyze	9856
1	The Emancipation of Mimi	9859
1	Siamese Dream	10147
1	Live Seeds	10148
2	Rarities & B-Sides	10149
1	Greatest Hits	10167
2	Neighborhood Watch	10168
1	Rotten Apples_ The Smashing Pumpkins Greatest Hits	10172
1	22-20s	10180
1	Chronicles	10223
1	Atom Bomb	10313
1	Fly Or Die	10598
1	Bright Like Neon Love	10630
1	Faith	10684
1	Lonely	10697
1	Other Side Of The World	11076
1	The Singles	11305
1	Speed Of Sound	11309
1	Best Of The Capitol Masters - 90th Birthday Edition	11449
1	Suit Yourself	11462
1	Speed Of Sound	11486
1	Out-Of-State Plates	11549
1	Anthems To The Welkin At Dusk	11857
1	The Sonet Blues Story	12151
1	Barrio Fino	12180
1	Rice & Curry	12395
1	Let It Rock...Best Of Georgia Satellites	12495
2	Wind In The Wire	12539
1	Behind The Button-Down Mind Of Bob Newhart	12546
1	Back In The USA	12585
1	Start A War	12607
1	War of the Worlds	12682
1	The Sound Of White - U.S. Version	12687
1	All Or Nothing	12757
1	All Or Nothing	12758
1	Who Is Mike Jones?	12882
1	Jetstream	12884
2	Best Of Arturo Sandoval	12891
2	High Time	13139
1	Lennie Tristano / The New Tristano	13331
2	"Cactology ""The Cactus Collection"	13340
1	Marshall Crenshaw	13393
1	Greatest Hits: Naughty's Nicest	13395
1	Boom Dot Bust	13411
1	God Of Love	13619
1	Tribute To Jake Hess	13664
1	Disconnection Notice	13727
1	Things Fall Apart	13824
1	Kaya	13841
1	Perverse	13857
2	Minimum - Maximum	13862
1	Raising Children/Go Figure	13904
2	Bridging The Gap	13919
2	A Little Deeper	13924
1	The Woman In Me	14219
1	Dig The New Breed	14224
1	Concert - The Cure Live	14231
1	The Slim Shady LP	14297
1	The Marshall Mathers LP	14302
1	The Marshall Mathers LP	14305
1	Get A Grip	14309
1	Young Lust: The Aerosmith Anthology	14312
1	Songs For The Deaf	14318
1	Aerosmith - Universal Masters Collection	14320
1	Without Me	14321
1	Big Ones	14327
3	From The Muddy Banks Of The Wishkah	14329
2	A Little South Of Sanity	14330
1	First Band On The Moon	14367
1	The Who By Numbers	14369
1	In The City	14371
1	7800 Fahrenheit	14381
1	The Kids Are Alright	14391
2	Gran Turismo	14421
1	Eazy Duz It	14549
1	Dry & Heavy	14561
1	Harder Than The Best	14562
2	Icons	14578
2	Brushfire Fairytales	14580
1	Rescued : The Best Of Fontella Bass	14582
3	Love_ Peace & Nappiness	14592
1	Good Thing Going	14869
1	The Road That I Walk	14880
1	Raindrops - The Best Of...	14905
2	Tell The People	14979
1	Soulful	14980
1	Christmas Music For The Heart	15050
1	Music Of The Sun	15269
2	Late Registration	15270
1	Welcome Back	15284
1	VELVET LOVE	15290
1	Feeling Strangely Fine	15316
1	Lyricist Lounge Vol. 1	15327
2	The Crazy World Of Arthur Brown	15373
1	Catch The Rainbow: The Anthology	15415
1	A Decade Of Chicago's Finest	15420
1	Reach Out	15426
1	Extreme II - Pornograffitti	15430
1	Chicago '85...The Movie	15450
1	Encore	15516
1	Final Straw	15520
1	Home	15535
2	Live Era '87-'93	15555
1	Opposite Of H20	15562
1	The Ever Passing Moment	15564
2	Things Falling Apart	15567
1	God Says No	15569
1	The Green Album	15588
1	Legally Blonde	15589
2	City High	15590
1	Use Your Illusion II	15638
1	Illadelph Halflife	15646
1	Time Tough: The Anthology	15683
2	Living With Ghosts	15742
1	The Best Of Extreme (An Accidental Collication Of Atoms)	15755
1	Flaming Red	15756
2	That Was Only Yesterday - An Introduction To	15791
1	A Little Deeper	15821
1	Supersonic	15862
1	On The Boards	15931
1	Temple Of The Dog	15963
1	Badmotorfinger	15964
3	Message In A Box	16027
1	For The Masses	16044
1	On Stage	16061
1	Gold (1974-1982)	16141
1	Gold	16168
1	A Brief History Of The 20th Century	16298
1	A Beautiful Lie	16369
2	Harlem World *Cancelled*	16681
1	Hours	16694
1	Pictures	16695
1	Have A Nice Day	16711
1	Have A Nice Day	16734
2	Saosin EP	16743
1	The EMI Years 1973-'75	16762
1	Dutty Rock	16901
1	Que No Se Extinga La Llama!	17127
1	Right On!	17131
1	Camino Vertical	17181
2	The Road To Hell Part 2	17220
1	Fix You	17388
1	Dirty Little Secret	17419
1	Hybrid Theory	18150
1	Savia Negra	18349
1	Le Funk	18368
1	The Road Goes On Forever (10th Anniversary Edition)	18408
1	Very Best of Montserrat Caballe	18599
1	El muchacho electrico	18642
2	Dance Into The Light	19068
1	There You'll Be	19113
1	Fireflies	19114
2	Judgement Days	19265
2	Hometown 2001	19601
1	Man	19603
1	Welcome To The Wild Country	19604
1	Vana-Va-Ndota	19893
1	Romantic Rights	19905
1	Fix The Cracks	20020
1	Scab Dates	20027
1	Vheissu	20032
2	Live Ed	20081
1	Love Beyond Reason	20133
1	B-Sides & Rarities	20137
1	En Tête-A-Tête	20337
1	Gardens Of Grief	20473
1	Century Seasons	20630
1	Church League Softball Fistfight	20683
2	Dirty Harry	20699
1	The Rising Tied	20796
1	The Rising Tied	20797
1	Virtuoso	20861
3	What The Game's Been Missing!	20903
1	Pot of Gold	20907
1	Smoke 'N' Breu	21009
1	The Stooges [Deluxe Edition]	21200
1	Dancing Drums	21374
1	Boomerang	21585
1	Eye To The Telescope	21604
1	Youth Are Getting Restless	21615
1	Black Dots	21616
1	To The 5 Boroughs	21631
1	Chasing Daylight	21648
1	Sister Hazel	21651
1	Seventeen Days	21740
1	Frank Ifield Sings Country & Classics	22016
1	All Time Greatest Hits	22061
1	The Master Musicians of Jajouka	22067
2	#8	22096
2	Caught Live + 5	22126
1	Greatest Hits	22353
1	Essential_ The Very Best Of...	22367
1	Methods Of Mayhem	22379
3	The Roots Come Alive	22383
2	Comatised	22385
1	Classic Brenda Lee - The Universal Masters Collection	22390
2	Orphan	22404
1	Play Me: The Complete Uni Studio Recordings...Plus!	22419
2	On The Cover	22451
3	Personal Business (Explicit)	22455
1	Lil' Romeo	22460
1	Word On Tha Streets	22465
2	Hang On To Your Resistance (The Early Years)	22484
2	Vixen	22583
1	Verdi - La Traviata (Highlights)	22723
1	Nachtflug	22780
1	The Best of Al DiMeola: The Manhattan Years	22786
1	Meet Danny Wilson	22876
2	Rockin' Every Night (Gary Moore Live In Japan)	22901
2	Songs For The Poor Man	22906
1	Mambo	22942
1	Sons And Fascination/Sister Feelings Call	22956
1	D'Hollywood A La drôle De Guerre	23060
2	Morrocan Roll	23102
1	Endless	23134
1	Signs Of Life	23172
1	Compact Disc	23176
1	Live In Tokyo	23178
1	Metal Box	23179
1	This Is What You Want . . . This Is What You Get	23181
1	Majurugenta	23251
1	EMI Country Masters - 50 Originals	23262
1	Legend Of The Liquid Sword	23366
2	20th Century Masters: The Millennium Collection: Best Of Semisonic	23369
1	Lucky Day	23370
1	Leona Naess	23385
1	Love Story	23399
1	Long Black Train	23447
1	You Got Me	23599
1	The Lonesome Jubilee	23778
1	Paul's Boutique	23876
1	Futurama	23891
4	Come A Little Bit Closer	23951
3	Alias	23964
1	The Wild One - The Greatest Hits	23967
1	Mountain Fiesta	23972
1	Axe Victim	23997
1	Live! In The Air Age	24000
1	Country Greats	24055
1	The Essential Marlene Dietrich	24065
1	Wendy Moten	24127
1	Independent Worm Saloon	24135
2	Images: Live From Mt. Fuji	24159
1	Step In The Arena	24239
1	Daily Operation	24250
1	Unplugged	24261
1	Earth To Heaven	24334
1	Stand	24364
1	Night On Fire	24380
1	Mad Mad World	24411
4	20 Favorites	24441
3	Dansez Avec Jo Privat	24504
1	The Trio	24521
1	The Capitol Years	24673
1	Mano A Mano	24684
2	Tomorrow	24732
2	It's A Sorry World	24739
1	A Man from Duck Run/The Country Side of Roy Rogers	24753
2	10 Aniversario	24765
1	15 Exitos	24766
1	Atomic/Atomix	24773
1	Art & Soul	24807
1	Blues Cross Country	24811
1	Wild_ Cool & Swingin'	24822
1	Wild_ Cool & Swingin'	24826
1	La	24889
1	Double Fun	25024
1	From The Beginning	25051
1	Qing Bu Jin	25086
1	Pull Marine	25098
2	Lifer	25133
1	Three Days	25159
1	Miriam	25170
1	Star Kitty's Revenge	25178
1	Live Up  & Close	25180
1	I'm Just Corey	25181
1	Cosas Del Amor	25202
1	Everything I Love	25267
1	Sing Brother Sing	25289
1	Gettin' My Mind Right	25323
1	The Very Best Of	25326
2	Todos Mis Exitos Vol. 2	25407
1	Things In The Game Done Changed	25426
1	Flake	25431
1	500 Degreez	25448
1	Heroes And Villains	25453
1	The Very Best Of The Velvet Underground	25561
1	Harder Faster	25564
1	Exit	25586
1	With A Little Help From My Friends	25641
1	Ode To Bobbie Gentry... The Capitol Years	25685
2	The Essential UFO	25735
1	Aziatic	25791
1	Zhen Jin Dian - Hacken Lee 2	25800
1	Dancing On The Ceiling	25811
1	Mississippi-The Album	25815
2	Da Ghetto Psychic	25824
1	Becstasy	25826
1	New Tattoo	25833
1	Too Fast For Love	25838
1	Say It Like You Mean It	25843
1	Ponce	25936
1	Cricklewood Green	25971
1	Live At The Filmore East	25979
1	Life On Earth	26014
1	Expansion Team	26034
1	Double Cream	26166
1	AmeriKKKa's Most Wanted (Explicit)	26210
1	Put Him Out	26220
1	Straight Outta Compton (2002 Digital Remaster) (Explicit)	26252
1	Angels Fall First	26253
2	The Very Best Of	26319
1	From Me To U	26342
1	Valley Of The Dolls	26348
1	Anthology	26355
1	The Artist In The Ambulance	26357
2	Bush Doctor	26379
1	Ocean Avenue	26414
2	Certified Hits	26453
1	Jah Kingdom	26734
1	Picture This	26752
1	Live / The Penthouse Tapes	26846
1	No Quarter	26867
1	Antarctica / China	26872
1	60's Triple set	26902
1	Semprini	26972
1	The World's Fastest Indian	27044
1	Between The Buried And Me	27051
1	Closer	27233
1	The Herethereafter	27316
1	A Brief History	27371
2	Frantic	27384
1	Roses	27412
1	The Sex Pistols	27415
1	Colorful You	27428
1	M83	27450
