song_id	album_id	song_title	year	duration	loudness	artist_id	hotttnesss
SOCIWDW12A8C13D406	300822	Soul Deep	1969	148.03546	-9.843	ARMJAGH1187FB546F3	
SOXVLOJ12AB0189215	514953	Amor De Cabaret		177.47546	-9.689	ARKRRTF1187B9984DA	
SONHOTT12A8C13493C	287650	Something Girls	1982	233.40363	-9.013	AR7G5I41187FB4CE6C	
SOYMRWW12A6D4FAB14	41838	The Moon And I (Ordinary Day Album Version)		267.7024	-9.323	ARKFYS91187B98E58F	
SOMJBYD12A6D4F8557	25824	Keepin It Real (Skit)		114.78159	-17.302	ARD0S291187B9B7BF5	
SOHKNRJ12A6701D1F8	8876	Drop of Rain		189.57016	-11.642	AR10USD1187B99F3F1	
SOIAZJW12AB01853F1	358182	Pink World	1984	269.81832	-13.496	AR8ZCNI1187B9A069B	0.2658610492
SOUDSGM12AC9618304	692313	Insatiable (Instrumental Version)		266.39628	-6.697	ARNTLGG11E2835DDB9	
SOQHXMF12AB0182363	539081	Young Boy Blues		218.77506	-10.021	ARGSJW91187B9B1D6B	0
SOKEJEJ12A8C13E0D0	163874	The Urgency (LP Version)		245.21098	-7.545	ARC43071187B990240	0.2658610492
SOMUYGI12AB0188633	575792	La Culpa		226.35057	-6.632	ARL7K851187B99ACD2	0
SORAMLE12AB017C8B0	815863	Auguri Cha Cha		191.84281	-7.75	ARHHO3O1187B989413	0
SOBONFF12A6D4F84D8	25811	Tonight Will Be Alright	1986	307.3824	-8.346	ARIK43K1187B9AE54C	
SOHUOAP12A8AE488E9	135122	Floating	1987	491.12771	-8.576	ARD842G1187B997376	0.4051157217
SOUQQEA12A8C134B1B	149958	High Tide		228.5971	-16.11	ARIG6O41187B988BDD	0.3347065491
SOILPQQ12AB017E82A	535188	Sohna Nee Sohna Data		599.24853	-8.032	AR1ZHYZ1187FB3C717	
SOXLBJT12A8C140925	372309	Caught In A Dream	2004	290.29832	-5.271	ARYKCQI1187FB3B18F	0.6841361912
SOZVMJI12AB01808AF	541101	Synthetic Dream		165.69424	-6.787	ARNPAGP1241B9C7FD4	0
SOWTBJW12AC468AC6E	605134	Broken-Down Merry-Go-Round		151.84934	-15.221	ARQGYP71187FB44566	
SOBEBDG12A58A76D60	239740	Kassie Jones		220.78649	-8.514	ARI3BMM1187FB4255E	0
SOZCTXZ12AB0182364	386995	Setanta matins		269.58322	-8.05	AR5KOSW1187FB35FF4	0.3135621142
SOBBUGU12A8C13E95D	223365	Setting Fire to Sleeping Giants	2004	207.77751	-4.264	ARMAC4T1187FB3FA4C	0.6665278462
SOBLGCN12AB0183212	652784	James (Hold The Ladder Steady)	1985	124.86485	-12.332	AR47JEX1187B995D81	0.4952936213
SOPSWQW12A6D4F8781	45730	Made Like This (Live)		225.09669	-5.908	ARGIWFO1187B9B55B7	0.3759843015
SOZQDIU12A58A7BCF6	672016	Superconfidential		338.31138	-6.486	ARNTLGG11E2835DDB9	
SONYPOM12A8C13B2D7	160881	I Think My Wife Is Running Around On Me (Taco Hell)	2005	186.48771	-4.516	ARDNS031187B9924F0	
SOBZBAZ12A6D4F8742	59744	Spanish Grease	1997	168.25424	-9.616	AROUOZZ1187B9ABE51	
SOVYKGO12AB0187199	373723	Crazy Mixed Up World	1961	156.39465	-18.051	ARH4Z031187B9A71F2	0
SOGNCJP12A58A80271	228326	Do You Finally Need A Friend	1972	342.56934	-11.939	ARB29H41187B98F0EF	0.4137398359
SOLLHMX12AB01846DC	463514	The Emperor Falls		484.62322	-15.335	AR1Y2PT1187FB5B9CE	0.377531645
SOYTPEP12AB0180E7B	643400	Twist and Shout	1964	164.80608	-10.922	ARAJPHH1187FB5566A	0.4432913119
SOGXHEG12AB018653E	663761	It Makes No Difference Now	1992	133.32853	-9.983	AR0RCMP1187FB3F427	0
SOOLYAZ12A6701F4A6	12882	Laws Patrolling (Album Version)		173.66159	-7.762	AREBBGV1187FB523D2	
SOGOSOV12AF72A285E	270281	¿Dónde va Chichi?	1997	313.12934	-9.512	ARGUVEV1187B98BA17	
SOJXVAH12A8C139700	244586	"Barking Dogs (From ""Piouhgd"")"		450.84689	-9.063	ARPQ4Z01187FB3A736	0.5939430759
SOVXMTN12A8C135A18	157648	OUTE ENA EFHARISTO		303.09832	-8.879	ARNQAVF11F4C844C04	
SORSECL12AB0182267	644631	Midnight Swim		128.83546	-17.699	ARXUT4W1187FB48BEB	0.3943948561
SOOGFBZ12AC3DF7FF2	730551	In A Subtle Way		456.30649	-19.478	ARDD1RC1187B9B52B4	0
SOMSBGZ12AB018C4CB	709879	Spin	2007	198.73914	-7.469	ARLGWFM1187FB4AC9F	0.4509923116
SONYRZV12AB018AF70	706005	Burning In The Aftermath	2003	95.68608	-2.022	ARWYVP51187B98C516	0.5287824809
SONQBUB12A6D4F8ED0	42595	Angie (1993 Digital Remaster)		271.49016	-10.358	ARFCUN31187B9AD578	0.8344926199
SOHGKJW12AC468A8BD	782470	Sabor Guajiro		226.66404	-12.716	AR6YDKV1187B989230	0
SOINBCU12A6D4F94C0	28723	Human Cannonball	1995	190.48444	-15.663	ARV1JVD1187B9AD195	0.510119314
SOTWVQT12A58A79650	557761	Glory Be	2004	277.78567	-6.944	AR7TTS41187B9B42D3	0.4821375851
SOTSEJY12AB0180F56	417945	Crossfire	1992	248.78975	-7.805	ART3O5Z1187B9AB043	
SOTSETT12AB01863B8	575531	I Can't Be Satisfied	2002	195.3171	-10.7	AR5U94U1187FB5CDCF	
SOTUNMH12A6D4FA3E6	234425	Nashville Parthenon	2006	175.72526	-10.93	ARRJNTE1187FB44E12	0.7858922884
SOEPPKB12AB018418B	505301	Cocain Ducks	1995	217.23383	-9.493	AR6IRG41187B9A4D98	
SOGKIWV12A6D4F86C4	74655	Human Being	1974	344.05832	-9.253	ARS1OWB1187B99EEAD	0.5616924112
SOPHYIS12AAF3B35A3	322532	The More I See You	2009	251.42812	-12.009	ARGMXQW1187FB54C34	0.4348380903
SOFHBAR12A6701D0FE	14592	Certain Things We Do	1997	269.7922	-11.043	AROEL1B1187B988B90	0.4051157217
SOCPRKM12AB018A2FD	515081	Forming	1977	206.05342	-11.506	AR8W8DN1187FB35ED0	
SOFGHAM12AB0186412	765750	Mafuá		190.04036	-14.179	ARUWLCL1187FB549B8	
SODHVES12A6701CE6B	17220	Driving Home For Christmas	1986	241.162	-8.531	AR3793X1187FB50CB3	0.7677277484
SOXIATP12AAF3B2184	617077	Spooks In Space	1966	122.64444	-8.541	ARINEWW1187FB5577E	0.4348380903
SOGNQWU12A8AE4868F	278999	Tous Les Garçons Et Les Filles	1985	207.0722	-6.629	ARDGB6U1187FB3AD07	0.3829350901
SOYQOFI12A6D4F76E1	19601	Too Much Saturn	1995	300.79955	-13.33	AR2J2WF1187FB46271	0.6104742578
SOVOLGY12A6D4F822B	38599	Movement 4 [from Kiss] (Album Version)	1997	228.46649	-12.412	ARUI8651187B9ACF52	0.226555314
SOMZCVH12AB0182B8E	619882	Stream		239.59465	-21.552	AR89DTT1187B9A7ED5	0.4159831183
SONXJBL12AAF3B2C0C	618615	Make Me Over		228.93669	-8.686	ARMD0G81187B99A519	
SOYWZTU12AB0180E26	681639	Deform (live)	2000	165.61587	-6.222	AR0VZWC1187B99BA57	0
SOLGHDZ12AB0183B11	449471	Wicker Chair	2003	187.92444	-5.907	ARF2EHS1187B994F4E	0.6859402267
SOTNTNJ12AAA15FBD6	321356	An ti chans'		276.50567	-4.638	ARZKRD01187FB45FD2	0
SOXZXXV12AAF3B3A67	530141	I Will Love Again (JJ's Club Radio)		200.25424	-5.884	ARK4H5K1187B992F74	
SOPIKEG12A58291636	104765	Stickin In My Eye	1992	144.50893	-7.787	AR06EB01187FB40150	0.671236027
SOIRNBO12AC468D207	695158	Ota kiinni		285.17832	-8.488	ARKPDBH1242077DEB1	
SOSBDSF12AB0189007	509770	Entre Caníbales	1990	246.69995	-9.603	ARBJSO81187B9BA09B	0.6261657597
SOIJXXM12A8C1416D6	223779	Rosemary Recalls	1985	84.03546	-26.266	ARRC2JF1187B9B6A93	0
SOHMMMC12AB0181C42	466577	Sudanese Dance	2000	273.52771	-6.305	ARNIFX51187FB418EA	0.199238262
SOVJXVJ12A8C13517D	148547	Where The Thunder Roars (Tales Of Wonder Album Version)		298.84036	-9.998	ARCCRTI11F4C845308	0.2658610492
SOFZCTA12AB0188D8F	423012	Wanna Be A Player	1997	161.38404	-9.161	ARNVH8S1187FB52F86	0.2377339416
SOLRYQR12A670215BF	7133	Panama (Remastered Album Version)		209.29261	-4.865	ARNLO5S1187B9B80CC	0.8244821297
SOCHRXB12A8AE48069	358442	Let's Get It Started	2004	229.61587	-4.882	ARTDQRC1187FB4EFD4	0.6244254933
SOKBBXO12A6701DEA0	15567	Metal	2000	426.89261	-12.951	ARK9TRQ1187B99C095	0.6355366486
SOWHYUG12A58A77FAB	413222	She Fell Away (2009 Digital Remaster)		269.26975	-11.751	ARODBRG1187FB3FD99	
SOYSTDI12A6D4F6500	80578	Next Time		249.41669	-6.693	ARMBYRO1187FB57419	0.1987853488
SOOOROX12A6D4F8400	26902	It's My Party	1963	136.48934	-9.091	ARWY7I71187FB36C3D	
SONSPZE12AB01819CE	633532	Complicate It	2001	233.27302	-2.658	AR6Y22S1187B99906F	0
SOHWGFU12AB017B036	435830	Monde De Fou	2005	187.24526	-4.42	ARI5P4N1187FB3F44D	0.2490657949
SOQQVQJ12AB0185192	495734	Opus a Satana (Part 2)		72.61995	-11.051	ARYPWUK1187B98ACED	
SODRHHD12AB0189F2A	664484	This Melody (Live)		272.63955	-9.97	ARW63KF1187B98AC48	
SOQGFVO12A8C13C8C3	112851	I'm Gone This Time		142.75873	-11.335	AR8H87D1187FB3A841	
SORABMD12A8C136672	200689	You Feel Good All Over	2002	194.11546	-15.581	ARLWR721187B9A03C9	0.3827232808
SOTUBVH12AB018D2EC	682725	Indian Love Call	1990	195.91791	-11.98	ARF4V431187FB3AA41	
SOMQAGT12A8C132DB4	287804	You Can Still Be Free	1999	118.33424	-11.215	ARBGWMW1187B9AEA3E	
SOKLLOH12A67020F2C	220917	I Never Came	2005	288.41751	-8.165	AR6G4V01187B9AD086	0.7251212836
SONRLQH12AB017C232	629785	Dixie		123.21914	-12.69	ARVQ4QM1187B98AD95	
SODDZAD12A6701DC4C	11305	Commercial Reign	1990	283.76771	-8.7	AR9AM2N1187B9AD2F1	0.6651722408
SORENXV12A6701F61F	4967	Hourglass		239.3073	-5.758	AR9XEVF1187B99D017	0.5546547675
SOYMMDY12AB01825B2	325335	Wake		206.75873	-4.907	ARCFOZ71187FB43A0D	0.3041695034
SOJWQIP12A6D4F710A	82932	Caricia Y Herida		134.81751	-8.133	ARHFEBO11F50C4825A	
SOOVOKS12AB017EE57	401583	Le tortillard		285.64853	-9.093	AR107SB1187B9A79F9	
SORWHWY12A6702038E	8552	WKYA (drop)	2001	124.18567	-10.296	ARXWAQQ1187B9AE954	0.5701059301
SOGYYLE12A8C13E5EA	217058	Teräslintu		134.08608	-12.839	ARL6XZC1187FB3936E	
SOITUXQ12AB0183AE9	489673	Now's The Time To Fall In Love		155.61098	-13.71	ARSDSMG1187B98CB59	
SOTWEZZ12A8C142B60	475992	Grim Prospects (Gross Prospects - Bad Trip Remix)		275.40853	-2.119	AR3WMW01187B9921F7	
SOUVRGZ12A58A77F90	495041	Mangos	1961	223.4771	-14.438	AR3C3C01187B98E800	0
SOBLTSM12A6D4F9EEA	225610	A Distant Voice		443.24526	-13.002	ARDD9UN1187B98D3A7	0.2707759989
SOUQVUD12A8C142DCE	473710	Openbare Weg	2006	177.81506	-12.004	ARJGNV61187B98F3B5	
SOXVBVL12AF72A600C	341940	Lead Me Lord	1995	324.44036	-11.829	ARVJ0JK1187B98C9C0	0.4051157217
SOIQHDR12AB01896C8	766444	Spontanous Combustion		275.12118	-6.29	AR4PCIG1187B98D07D	0.2427418789
SODLSHA12AAF3B29F2	432406	Choro		294.66077	-15.761	AR1RHCO1187B9AF0BF	0.3867901771
SOAGHMH12AB0180285	546663	Ma Louise		193.20118	-27.433	AR1X2H01187B98CCF2	
SORAVUP12AB018556E	548374	I Want You (Forever)	1991	357.82485	-5.701	ARBQBZV1187B99D29E	0.5112548351
SOFXNQP12AB0184F1A	704183	Hate	1997	198.3473	-8.709	AR9ODB41187FB459B2	0.460484845
SOGQTRZ12A8C13C8B0	307618	I Can't Stop Loving You	2005	261.95546	-13.627	ARF3GX71187FB3EB66	0.488289876
SOBHVZQ12AC9618285	784530	Thank You Lord	1985	176.27383	-11.479	AR3PN3R1187FB4CEBD	
SOYPBCY12AB0181EF3	534470	How Can You Call That Beautiful (Stewkey Vocal)		220.89098	-6.302	ARYWCFZ11E2835CFDD	
SOWRLSY12AC4687694	599659	Cheatin' In The Next Room		235.91138	-10.466	ARUT16P1187FB532A4	
SOOGQWR12A8C142505	372122	Candy Man	1971	239.59465	-9.275	AREOGMA1187B9908EF	
SOJDYQY12AB0188C97	577023	I See The Boys Of Summer		171.49342	-37.398	AR4ABL21187FB3913A	0
SOBHQUF12AB018B03E	572855	Three Is a Crowd		266.05669	-13.836	AR8YV1I1187FB45D2B	0
SOFRAZJ12A8C143CDB	523481	On Bended Knee	1994	329.27302	-7.103	ARR9XGB1187B9912E6	0.345802234
SONNDHT12A8C13F20B	219943	My Four Reasons		198.922	-13.495	ARBKUS51187B98A3AC	0.3335548073
SOYZOXW12A8C13E195	266932	Little Girl (LP Version)	1971	283.21914	-15.144	ARTB5PP1187FB523B7	0.6173656176
SOSGJTX12AB0181F7C	514801	Eternamente Amame		238.68036	-12.991	ARXFQDY1187B9AAF1E	
SOBQBWP12AB018611B	421962	Niev nietch nievitch	1999	254.06649	-6.01	ARVEJ9M1187FB4DC44	0.3943948561
SODULLV12AB017FA09	502384	Come Over		184.31955	-5.58	ARTHEAP122BCFCD0B2	
SOYAGJM12A8C13DCCE	254792	Blue Taxi		311.40526	-4.313	ARQESNI1187FB511EE	
SORXUZZ12A8AE4798A	138320	I Want Love (Tween You & Me) (Album Version)		162.53342	-17.285	ARCZ20M1187FB49687	0.374796837
SOCHXAE12AF72A25D6	722546	White Feather	2009	212.37506	-5.931	ARDF8K01187FB37200	
SOCRHCQ12A58A7C8C6	46647	Christlike Roche	1995	338.33751	-14.248	AR11NP91187B9901B4	0.2658610492
SOSEJIQ12AB017E7EB	547104	You Rascal You		126.51057	-12.651	ARBZAIL1187FB5B1C8	0.2337964742
SOMXWXQ12AC3DFA002	683402	Sympathy		205.58322	-16.056	ARWXHRS1241B9C7A1E	
SOGMXBW12A6D4FB8D7	128198	They Say (Album)	2007	193.4624	-5.913	ARV1P811187FB3CFC6	0.2150803185
SOOPUTF12AB018DFAA	818344	Simon's Folly		127.4771	-5.541	ARIU0MA1187B98D36F	
SOFDTRZ12AB018DD11	762520	Crawl Before You Ball (Album Version)	1999	234.762	-6.019	ARB4D891187B9954F7	
SOOGNJP12A8C1381AD	293668	Medicate Myself	2001	292.8322	-4.953	ARQOC971187B9910FA	0.4663048308
SOFUBCP12A8C13D5EF	117983	Biding Her Time	1990	241.10975	-18.114	AR19SOA1187B98F6E6	0.4806106184
SOVZBDR12A6702012E	6949	More And More  (LP Version)		270.68036	-11.061	ARTDBI61187FB48479	0.2656833797
SOPWKSS12AC468E659	735425	Cowboy Ways		188.73424	-7.04	ARSE6YI1187B9B9CD2	
SOCCQIQ12A8C13C76B	158078	Brasas Vivas		211.80036	-15.358	AR6C8EJ1187FB3F473	
SODBMZD12A8C134232	199953	Kolomeyke		254.32771	-11.213	AROI96Z1187B9A5304	
SOBUWPY12A8C1446C0	329135	In This Life	2009	210.36363	-5.904	ARIOSKN1257509BCE1	
SORWXUP12A58A79E65	276924	Groovin' In The Midnight	1991	301.81832	-8.095	ARI0PUX1187FB3F215	0.345802234
SOJEVZW12A8C133988	193554	Waiting	1997	416.80934	-7.982	ARYO9BU1187B9ADA88	0.8251735404
SOOODKC12AB018462F	409813	A'chek Ouyounik (2009 Digital Remaster)		413.36118	-8.804	ARZ507V1187FB4425E	0
SODOLVO12B0B80B2F4	440990	Hell	2005	117.002	-5.699	AR6XPWV1187B9ADAEB	
SOEHWGF12A6D4F8B2B	302176	Hips Don't Lie (featuring Wyclef Jean)		217.36444	-5.152	AR6PJ8R1187FB5AD70	0.7373853102
SOOZLTC12A6D4FBE91	124344	Juoksuhauta-twist (Elämä juoksuhaudoissa)		122.72281	-9.965	AR4CG3B1187FB5B861	
SOOSYMY12AB01888CD	762519	I Got Over It (Album Version)	1988	203.98975	-11.976	AR7BMMV1187FB5B2D7	0.4721211195
SOPBKEB12A6D4FD777	177029	One Less Bell To Answer		192.44363	-10.229	AREYIHC1187B99CE0B	0
SOEWQYW12AB0183FDE	517150	Festa		285.36118	-6.284	AREEMIN11F4C848971	0.3920087715
SOFBQIA12AB0182219	512234	Te Hacen Falta Vitaminas	1984	225.12281	-3.818	ARBJSO81187B9BA09B	
SOHDDHR12AB0183552	517488	Sense And Trick		123.66322	-4.633	ARBGJLS11F4C83D4B9	
SONWQQX12AC3DF6762	776019	Fire (Oscar G Space Vocal Mix)		525.16526	-5.602	ARVNDLR1187B99CA1B	
SOGXFIF12A58A78CC4	696947	Hanging On (Medium Key Performance Track Without Background Vocals)		204.06812	-5.157	AR5LZJD1187FB4C5E5	0.2364201822
SOIPNSZ12A8C144128	477268	Grim Prospects (Version 2 Remix)		166.00771	-1.925	AR3WMW01187B9921F7	
SOEXSIN12A8C133B0A	281713	Christmas In Jamaica	2001	219.01016	-5.21	ARAEX7Y1187FB42D36	
SOTSMNJ12AB018365E	492999	Gossippo Perpetuo	2001	127.9473	-12.717	ARK2G5U1187FB46B34	0.4444017145
SOLGRUN12A8C140543	120640	2190 Dias Contigo		570.90567	-12.28	ARTB56G11C8A41569D	
SOQCHGV12AC4688FC6	789426	No Control		230.00771	-9.748	AR0GGKI1187FB391D5	
